Rank (of 2021),School,Grades,District,# Students,"Student/
                            Teacher Ratio","Free/Disc Lunch
                            Recipients",Average Standard Score (2017),Rank (2016),Rank Change From 2016
896,Aspire Vanguard College Preparatory Academy,6-12,Modesto City High,334,20.8,56.0 %,55.5,,(n/a)
897,Mt. Pleasant High,9-12,East Side Union High,"1,380",20.9,63.5 %,55.5,991,94
898,Borrego Springs High,9-12,Borrego Springs Unified,146,18.2,84.9 %,55.5,969,71
899,James Lick High,9-12,East Side Union High,"1,137",21,75.6 %,55.5,1198,299
900,John F. Kennedy High,9-12,Los Angeles Unified,"2,099",24.1,68.9 %,55.3,897,3
901,Boyle Heights STEM High,9-12,Los Angeles Unified,132,16.5,88.6 %,55.3,,(n/a)
902,Elsinore High,9-12,Lake Elsinore Unified,"2,041",22.9,61.0 %,55.3,843,59
903,Oceanside High,9-12,Oceanside Unified,"2,160",24.5,63.4 %,55.2,745,158
904,Public Service Community at Diego Rivera Learning Complex,9-12,Los Angeles Unified,527,25,89.9 %,55.2,1148,244
905,Health Sciences High,9-12,San Diego Unified,593,37,70.5 %,55.1,789,116
906,Montgomery Senior High,9-12,Sweetwater Union High,"1,684",23.7,64.3 %,55.1,860,46
907,Oroville High,9-12,Oroville Union High,969,22.5,70.1 %,55,1190,283
908,Denair High,9-12,Denair Unified,269,26.9,52.8 %,55,791,117
909,Everett Alvarez High,9-12,Salinas Union High,"2,466",24.4,58.0 %,54.9,808,101
910,North Valley Military Institute College Preparatory Academy,6-12,Los Angeles Unified,495,26,85.3 %,54.9,1337,427
911,Sylmar Charter High,9-12,Los Angeles Unified,"1,988",25.4,80.7 %,54.9,1045,134
912,Pioneer High,9-12,Whittier Union High,"1,446",25.3,85.3 %,54.9,877,35
913,Alliance Cindy and Bill Simon Technology Academy High,9-12,Los Angeles Unified,514,18.3,99.4 %,54.8,1260,347
914,Forest Charter,K-12,Nevada County Office Of Education,696,22.4,42.8 %,54.8,810,104
915,Caruthers High,9-12,Caruthers Unified,580,20.7,86.2 %,54.7,1160,245
916,Schurr High,9-12,Montebello Unified,"2,847",27.9,81.0 %,54.7,825,91
917,Buena Park High,9-12,Fullerton Joint Union High,"1,913",28.1,80.0 %,54.6,997,80
918,Washington High,9-12,Washington Unified,"1,032",21.9,84.7 %,54.6,1120,202
919,George Washington Carver School of Arts and Science,9-12,Sacramento City Unified,315,19.6,49.8 %,54.5,635,284
920,Thirty-Second Street USC Performing Arts,K-12,Los Angeles Unified,"1,050",26.2,89.0 %,54.5,726,194
921,William C. Overfelt High,9-12,East Side Union High,"1,449",20.7,80.2 %,54.5,1178,257
922,Kerman High,9-12,Kerman Unified,"1,395",24.4,84.6 %,54.4,982,60
923,Vista High,9-12,Vista Unified,"2,524",19.7,62.4 %,54.3,1121,198
924,John Swett High,9-12,John Swett Unified,565,20.9,55.6 %,54.2,617,307
925,Banning High,9-12,Banning Unified,"1,111",24.6,82.6 %,54.1,946,21
926,Thomas Downey High,9-12,Modesto City High,"2,026",25.3,68.8 %,54.1,852,74
927,Trivium Charter,K-12,Blochman Union Elementary,615,20.5,34.5 %,54.1,475,452
928,Creative Connections Arts Academy,K-12,Twin Rivers Unified,660,22.7,63.6 %,54.1,965,37
929,Ridgeview High,9-12,Kern High,"2,383",28.7,70.1 %,54.1,1054,125
930,ACE Charter High,9-12,East Side Union High,267,17.8,95.9 %,54,1201,271
931,Oscar De La Hoya Animo Charter High,9-12,Los Angeles Unified,620,22.9,93.6 %,54,845,86
932,Valley Oaks High (Alternative),7-12,Petaluma Joint Union High,73,18.2,39.7 %,54,535,397
933,Mission Bay High,9-12,San Diego Unified,"1,054",19.5,66.9 %,53.9,874,59
934,Boron Junior-Senior High,7-12,Muroc Joint Unified,243,14.2,64.6 %,53.9,1067,133
935,Cesar E. Chavez Learning Acads-Academy of Scientific Explr (ASE),9-12,Los Angeles Unified,477,26.5,83.4 %,53.9,753,182
936,Rancho Verde High,9-12,Val Verde Unified,"3,303",26.2,72.0 %,53.8,872,64
937,San Ysidro High,9-12,Sweetwater Union High,"2,456",25,73.4 %,53.8,895,42
938,Alliance Susan and Eric Smidt Technology High,9-12,Los Angeles Unified,514,19.7,91.1 %,53.8,758,180
939,Hanford West High,9-12,Hanford Joint Union High,"1,380",25.5,57.0 %,53.7,705,234
940,Robert Fulton College Preparatory,6-12,Los Angeles Unified,"1,769",24.2,90.5 %,53.7,1051,111
941,San Leandro High,9-12,San Leandro Unified,"2,597",22,62.0 %,53.6,913,28
942,Madera High,9-12,Madera Unified,"2,139",25.7,74.7 %,53.6,728,214
943,South Sutter Charter,K-12,Marcum-Illinois Union Elementary,"2,099",24.1,37.4 %,53.5,1037,94
944,West Valley High,9-12,Hemet Unified,"1,732",22.2,81.2 %,53.5,999,55
945,Lompoc High,9-12,Lompoc Unified,"1,398",22.1,70.7 %,53.5,1156,211
946,Mountain Park,K-12,Monrovia Unified,71,14.2,54.9 %,53.5,1108,162
947,Pacheco High,9-12,Los Banos Unified,"1,503",22.7,81.9 %,53.5,1116,169
948,Charter School of San Diego,7-12,San Diego Unified,"2,226",33.7,74.2 %,53.4,1141,193
949,Konocti Education Center,4-12,Konocti Unified,346,24.7,78.3 %,53.3,,(n/a)
950,Andrew P. Hill High,9-12,East Side Union High,"1,934",22.4,63.4 %,53.3,963,13
951,Sultana High,9-12,Hesperia Unified,"1,962",25.1,70.1 %,53.3,803,148
952,Coast High,9-12,Huntington Beach Union High,208,23.1,15.4 %,53.3,736,216
953,Arleta High,9-12,Los Angeles Unified,"1,436",22.4,85.0 %,53.3,839,114
954,Linden High,9-12,Linden Unified,690,20.9,51.6 %,53.3,948,6
955,Vasquez High,9-12,Acton-Agua Dulce Unified,399,21,25.6 %,53.1,1093,138
956,La Sierra High,9-12,Alvord Unified,"1,893",22.2,73.3 %,53.1,968,12
957,Valor Academy High,9-12,Los Angeles Unified,344,17.2,83.7 %,53.1,916,41
958,Jefferson High,9-12,Jefferson Union High,"1,162",21.9,59.0 %,53,819,139
959,Lathrop High,9-12,Manteca Unified,"1,261",22.1,51.6 %,53,1018,59
960,Gladstone High,9-12,Azusa Unified,"1,216",23.3,76.4 %,52.8,923,37
961,North Salinas High,9-12,Salinas Union High,"1,977",21.7,62.8 %,52.8,964,3
962,Inderkum High,9-12,Natomas Unified,"1,882",25.4,48.5 %,52.7,766,196
963,Reseda Senior High,9-12,Los Angeles Unified,"1,597",20.7,79.5 %,52.7,840,123
964,Fallbrook High,9-12,Fallbrook Union High,"2,071",23.2,57.2 %,52.7,756,208
965,Ramona High,9-12,Riverside Unified,"2,128",25,79.9 %,52.7,836,129
966,Independence High,9-12,San Francisco Unified,201,13.4,59.7 %,52.7,1384,418
967,Galt High,9-12,Galt Joint Union High,924,21.4,72.2 %,52.6,936,31
968,Pinole Valley High,9-12,West Contra Costa Unified,"1,160",22.7,61.0 %,52.6,1197,229
969,Cajon High,9-12,San Bernardino City Unified,"2,836",27,73.9 %,52.5,829,140
970,Julian Charter,K-12,Julian Union Elementary,"2,450",20.7,36.2 %,52.4,826,144
971,Magnolia Science Academy 2,6-12,Los Angeles Unified,487,23.1,79.5 %,52.4,601,370
972,Chaffey High,9-12,Chaffey Joint Union High,"3,482",25.2,87.5 %,52.3,844,128
973,California Virtual Academy @ Kings,K-12,Armona Union Elementary,484,17.9,59.7 %,52.3,912,61
974,CHAMPS - Charter High School of Arts-Multimedia & Performing,9-12,Los Angeles Unified,800,17.7,46.1 %,52.3,866,108
975,Ferndale High,9-12,Ferndale Unified,162,14.7,38.9 %,52.2,1056,81
976,Encore Junior/Senior High School for the Perf and Visual Arts,7-12,Hesperia Unified,"1,228",30.7,48.9 %,52.1,898,78
977,Hemet High,9-12,Hemet Unified,"2,318",24.6,69.0 %,52.1,778,199
978,Big Valley Junior Senior High,7-12,Big Valley Joint Unified,86,10.7,53.5 %,52,1362,384
979,Western High,9-12,Anaheim Union High,"2,125",26.5,72.1 %,51.9,700,279
980,Santee Education Complex,9-12,Los Angeles Unified,"1,808",23.7,92.3 %,51.8,1438,458
981,California Connections Academy @ Ripon,K-12,Ripon Unified,879,36.6,41.2 %,51.8,673,308
982,Stellar Secondary Charter High,9-12,Redding Elementary,76,19,39.5 %,51.7,539,443
983,Citrus Hill High,9-12,Val Verde Unified,"2,339",24.3,79.1 %,51.7,831,152
984,Yuba City High,9-12,Yuba City Unified,"1,766",18.9,58.3 %,51.6,972,12
985,San Fernando Senior High,9-12,Los Angeles Unified,"2,222",21.7,89.5 %,51.5,1080,95
986,Connecting Waters Charter,K-12,Waterford Unified,"2,100",22.5,44.1 %,51.5,876,110
987,Academy (The)- Sf @mcateer,9-12,San Francisco Unified,318,19.8,56.6 %,51.5,476,511
988,Hilda L. Solis Learning Academy School Of Technical Business And Educational,9-12,Los Angeles Unified,342,21.3,89.2 %,51.4,1086,98
989,River Valley High,9-12,Yuba City Unified,"1,757",20.4,59.1 %,51.4,798,191
990,Merced Scholars Charter,6-12,Merced County Office Of Education,107,26.7,59.8 %,51.4,993,3
991,Greenville Junior/Senior High,7-12,Plumas Unified,85,8.5,52.9 %,51.3,775,216
992,Academies of Education and Empowerment at Carson High,9-12,Los Angeles Unified,563,26.8,61.3 %,51.3,904,88
993,Katella High,9-12,Anaheim Union High,"2,619",27.2,80.5 %,51.2,1025,32
994,Shadow Ridge,K-12,Hesperia Unified,210,21,48.6 %,51.2,1482,488
995,The MET,9-12,Sacramento City Unified,303,25.2,52.8 %,51.2,644,351
996,Rancho Dominguez Preparatory,6-12,Los Angeles Unified,975,22.6,78.9 %,51.1,1309,313
997,Learning for Life Charter,7-12,Monterey Peninsula Unified,87,21.7,50.6 %,51.1,1463,466
998,Chowchilla Union High,9-12,Chowchilla Union High,"1,066",23.6,69.0 %,51.1,1040,42
999,McFarland High,9-12,McFarland Unified,860,23.2,83.4 %,51.1,1194,195
1000,Santa Clarita Valley International,K-12,William S. Hart Union High,"1,004",23.9,29.3 %,51.1,1114,114
1001,Buhach Colony High,9-12,Merced Union High,"1,764",23.5,72.8 %,51.1,693,308
1002,Ceres High,9-12,Ceres Unified,"1,738",22,77.4 %,51,983,19
1003,Le Grand High,9-12,Le Grand Union High,465,17.8,77.6 %,50.9,1072,69
1004,Coalinga High,9-12,Coalinga-Huron Unified,"1,183",21.5,74.9 %,50.9,1252,248
1005,Pierce High,9-12,Pierce Joint Unified,442,22.1,63.1 %,50.9,1251,246
1006,Accelerated Achievement Academy,4-12,Ukiah Unified,160,22.8,80.0 %,50.8,890,116
1007,Cloverdale High,9-12,Cloverdale Unified,389,16.9,49.4 %,50.8,706,301
1008,School For The Visual Arts And Humanities,9-12,Los Angeles Unified,435,19.7,89.7 %,50.7,933,75
1009,Marina High,9-12,Monterey Peninsula Unified,595,18,65.4 %,50.7,1029,20
1010,Twentynine Palms High,9-12,Morongo Unified,782,23.6,52.8 %,50.6,616,394
1011,Fontana High,9-12,Fontana Unified,"2,509",20.3,92.7 %,50.6,1259,248
1012,Riverdale High,9-12,Riverdale Joint Unified,566,19.5,83.6 %,50.5,827,185
1013,Mission Oak High,9-12,Tulare Joint Union High,"1,464",24.4,67.0 %,50.5,926,87
1014,Clovis Online Charter,7-12,Clovis Unified,299,23,31.4 %,50.5,924,90
1015,Rosamond High,9-12,Southern Kern Unified,759,18,62.9 %,50.4,1052,37
1016,Alisal High,9-12,Salinas Union High,"2,585",26.6,84.8 %,50.4,1001,15
1017,Golden Valley High,9-12,Merced Union High,"1,716",22.8,82.7 %,50.4,824,193
1018,Azusa High,9-12,Azusa Unified,"1,289",20.4,74.9 %,50.4,927,91
1019,Potter Valley High,9-12,Potter Valley Community Unified,82,10.2,61.0 %,50.4,1105,86
1020,Vista del Lago High,9-12,Moreno Valley Unified,"2,143",24.6,80.2 %,50.3,1102,82
1021,Orland High,9-12,Orland Joint Unified,694,21.6,55.6 %,50.3,858,163
1022,Magnolia High,9-12,Anaheim Union High,"1,815",23.5,77.7 %,50.2,1090,68
1023,California Virtual Academy @ San Joaquin,K-12,New Jerusalem Elementary,"1,428",23.8,51.7 %,50.2,1213,190
1024,Canoga Park Senior High,9-12,Los Angeles Unified,"1,434",21.7,81.9 %,50.2,1099,75
1025,Hayward High,9-12,Hayward Unified,"1,580",21.9,75.2 %,50.2,1039,14
1026,Apple Valley High,9-12,Apple Valley Unified,"2,218",24.9,56.8 %,50.1,1005,21
1027,Woodland Senior High,9-12,Woodland Joint Unified,"1,318",22.3,63.4 %,50.1,1180,153
1028,Orange High,9-12,Orange Unified,"1,889",23.3,73.7 %,50,1103,75
1029,Oxnard High,9-12,Oxnard Union High,"2,786",27.5,52.6 %,49.9,1122,93
1030,California Virtual Academy @ San Mateo,K-12,Jefferson Elementary,801,21,38.5 %,49.9,855,175
1031,Plumas Charter,K-12,Plumas Unified,332,20.7,64.5 %,49.9,632,399
1032,Modoc High,9-12,Modoc Joint Unified,220,16.9,40.9 %,49.9,646,386
1033,Moreno Valley Online Academy,K-12,Moreno Valley Unified,133,22.1,60.9 %,49.8,957,76
1034,Exeter Union High,9-12,Exeter Unified,923,23.6,54.5 %,49.7,662,372
1035,Hoopa Valley High,9-12,Klamath-Trinity Joint Unified,252,14,73.0 %,49.6,1380,345
1036,Canyon Springs High,9-12,Moreno Valley Unified,"2,464",23.9,70.9 %,49.4,1018,18
1037,Sweetwater High,9-12,Sweetwater Union High,"2,698",26.4,79.8 %,49.4,906,131
1038,Sun Valley Magnet,6-12,Los Angeles Unified,"1,350",20.7,89.2 %,49.4,649,389
1039,Merced High,9-12,Merced Union High,"1,706",21.3,74.9 %,49.4,776,263
1040,Highland High,9-12,Antelope Valley Union High,"2,931",23.2,58.6 %,49.3,1016,24
1041,Verdugo Hills Senior High,9-12,Los Angeles Unified,"1,418",21.8,68.9 %,49.3,767,274
1042,Lakeside High,9-12,Lake Elsinore Unified,"1,907",22.4,76.1 %,49.3,761,281
1043,La Puente High,9-12,Hacienda La Puente Unified,"1,288",25.2,86.5 %,49.2,978,65
1044,Loara High,9-12,Anaheim Union High,"2,303",27,76.8 %,49.1,833,211
1045,Academy of Personalized Learning,K-12,Gateway Unified,368,24.5,60.9 %,49,922,123
1046,Summerville High,9-12,Summerville Union High,452,17.3,36.1 %,49,565,481
1047,South San Francisco High,9-12,South San Francisco Unified,"1,363",23.1,43.2 %,48.9,689,358
1048,Heritage High,9-12,Perris Union High,"2,735",26.2,69.8 %,48.8,1106,58
1049,San Jacinto High,9-12,San Jacinto Unified,"2,506",25.8,74.4 %,48.8,857,192
1050,Atwater High,9-12,Merced Union High,"1,885",22.9,82.2 %,48.8,1077,27
1051,Vantage Point Charter,K-12,Penn Valley Union Elementary,45,45,60.0 %,48.7,,(n/a)
1052,Los Banos High,9-12,Los Banos Unified,"1,440",22.8,65.3 %,48.7,984,68
1053,Linda Esperanza Marquez High A Hntngtn Park Inst of Appl Med,9-12,Los Angeles Unified,686,28.5,89.9 %,48.6,976,77
1054,Foothill High,9-12,Kern High,"1,996",27.3,84.0 %,48.5,1027,27
1055,Weston Ranch High,9-12,Manteca Unified,"1,232",22.4,65.6 %,48.5,1023,32
1056,Cordova High,9-12,Folsom-Cordova Unified,"1,692",20.3,68.5 %,48.5,917,139
1057,Fontana A. B. Miller High,9-12,Fontana Unified,"2,355",20.4,87.3 %,48.5,1074,17
1058,Norte Vista High,9-12,Alvord Unified,"2,243",24.9,83.9 %,48.5,1066,8
1059,Lemoore High,9-12,Lemoore Union High,"1,956",23,51.6 %,48.4,1087,28
1060,California Virtual Academy @ Los Angeles,K-12,West Covina Unified,"3,147",28,58.8 %,48.2,954,106
1061,Delhi High,9-12,Delhi Unified,750,17.4,78.4 %,48.2,770,291
1062,California Pacific Charter Schools - San Diego,K-12,Warner Unified,866,15.7,52.3 %,48.2,,(n/a)
1063,Visual and Performing Arts at Legacy High School Complex,9-12,Los Angeles Unified,431,26.9,83.1 %,48.1,1150,87
1064,Northwest Prep Charter,7-12,Piner-Olivet Union Elementary,95,19,49.5 %,48.1,1166,102
1065,Don Antonio Lugo High,9-12,Chino Valley Unified,"1,698",21.2,67.2 %,48.1,992,73
1066,Golden Valley High,9-12,Kern High,"2,402",27.9,82.0 %,48,934,132
1067,Teach Technical Charter High,9-12,Los Angeles Unified,162,18,94.4 %,48,,(n/a)
1068,El Cerrito High,9-12,West Contra Costa Unified,"1,429",26.9,51.1 %,48,995,73
1069,California Prep Sutter 8-12,8-12,Meridian Elementary,48,9.6,14.6 %,48,,(n/a)
1070,California Virtual Academy @ San Diego,K-12,Spencer Valley Elementary,"2,533",24.1,56.5 %,48,947,123
1071,Julian High,9-12,Julian Union High,157,15.7,51.6 %,48,489,582
1072,Esparto High,9-12,Esparto Unified,274,19.5,55.1 %,47.9,1002,70
1073,Woodlake High,9-12,Woodlake Unified,663,20.7,83.3 %,47.8,950,123
1074,Independence High,9-12,Paso Robles Joint Unified,104,20.8,34.6 %,47.8,1158,84
1075,Banning Acads of Creative and Innovative Scis (BACIS),9-12,Los Angeles Unified,542,19.3,84.5 %,47.8,,(n/a)
1076,Loyalton High,7-12,Sierra-Plumas Joint Unified,158,15.8,32.3 %,47.8,1448,372
1077,Rio Mesa High,9-12,Oxnard Union High,"2,183",26.3,52.0 %,47.8,884,193
1078,San Diego Science and Technology,9-12,San Diego Unified,730,25.1,90.7 %,47.7,862,216
1079,Audeo Charter,K-12,San Diego Unified,761,28.1,65.8 %,47.7,1149,70
1080,Paramount High,9-12,Paramount Unified,"4,794",26,91.2 %,47.6,738,342
1081,Alliance Piera Barabaglia Shaheen Health Services Academy,9-12,Los Angeles Unified,453,16.7,89.9 %,47.4,692,389
1082,Manteca High,9-12,Manteca Unified,"1,511",20.6,50.6 %,47.3,1007,75
1083,Princeton Junior-Senior High,7-12,Princeton Joint Unified,97,12.1,70.1 %,47.3,,(n/a)
1084,Pathways Charter,K-12,Harmony Union Elementary,477,19,38.0 %,47.3,1117,33
1085,Monterey County Home Charter,K-12,Monterey County Office Of Education,381,19,55.1 %,47.2,1323,238
1086,Carson Senior High,9-12,Los Angeles Unified,"1,560",24.3,70.5 %,47.2,1189,103
1087,Williams Junior/Senior High,7-12,Williams Unified,547,21.8,77.9 %,47.2,1044,43
1088,John W. North High,9-12,Riverside Unified,"2,274",24.1,76.3 %,47,1058,30
1089,Central High East Campus,9-12,Central Unified,"4,142",22.5,62.8 %,46.9,1036,53
1090,Horizon Charter,K-12,Western Placer Unified,"1,340",15.2,44.6 %,46.9,1190,100
1091,San Bernardino High,9-12,San Bernardino City Unified,"1,621",22.2,91.9 %,46.9,1230,139
1092,Indian Springs High,9-12,San Bernardino City Unified,"1,797",25.6,93.0 %,46.8,1334,242
1093,Erma Duncan Polytechnical High,9-12,Fresno Unified,986,23.4,90.3 %,46.8,1079,14
1094,Burton (Phillip and Sala) Academic High,9-12,San Francisco Unified,"1,033",16.1,74.2 %,46.8,910,184
1095,Community Collaborative Charter,K-12,Acton-Agua Dulce Unified,"1,427",16.4,32.9 %,46.6,,(n/a)
1096,Del Campo High,9-12,San Juan Unified,"1,777",23.6,44.4 %,46.5,638,458
1097,Desert Hot Springs High,9-12,Palm Springs Unified,"1,726",22.7,89.3 %,46.3,1130,33
1098,John H. Glenn High,9-12,Norwalk-La Mirada Unified,"1,450",22.6,81.2 %,46.1,1296,198
1099,Los Angeles Senior High,9-12,Los Angeles Unified,"1,380",21.5,86.5 %,46.1,1171,72
1100,Bullard High,9-12,Fresno Unified,"2,639",24.6,56.7 %,46.1,953,147
1101,Peter Johansen High,9-12,Modesto City High,"1,747",24.6,77.6 %,45.9,1084,17
1102,Orange Glen High,9-12,Escondido Union High,"2,033",23.6,84.5 %,45.9,932,170
1103,Piner High,9-12,Santa Rosa High,"1,161",22.7,55.6 %,45.9,928,175
1104,North Monterey County High,9-12,North Monterey County Unified,"1,111",22.2,76.6 %,45.8,960,144
1105,Weber Institute,9-12,Stockton Unified,430,20.4,74.9 %,45.8,1224,119
1106,Nathaniel Narbonne Senior High,9-12,Los Angeles Unified,"2,559",23.9,71.8 %,45.7,945,161
1107,Mountain View High,9-12,El Monte Union High,"1,404",19.2,95.1 %,45.6,959,148
1108,Phineas Banning Senior High,9-12,Los Angeles Unified,"1,994",24.6,87.6 %,45.6,1144,36
1109,Calexico High,9-12,Calexico Unified,"3,036",24.4,82.6 %,45.6,1229,120
1110,Esteban Torres East La Performing Arts Magnet,9-12,Los Angeles Unified,382,17.3,91.1 %,45.6,1442,332
1111,Henry J. Kaiser High,9-12,Fontana Unified,"2,335",21.6,80.0 %,45.6,1123,12
1111,Los Angeles Academy of Arts & Enterprise Charter,6-12,Los Angeles Unified,382,27.2,98.7 %,45.6,674,437
1113,Independence Charter Academy,K-12,Helendale Elementary,88,22,78.4 %,45.5,,(n/a)
1114,Mirus Secondary,7-12,Hesperia Unified,244,14.3,71.3 %,45.5,1292,178
1115,Lancaster High,9-12,Antelope Valley Union High,"2,307",22.6,60.5 %,45.5,1146,31
1116,Fairfield High,9-12,Fairfield-Suisun Unified,"1,443",23.6,64.1 %,45.4,1100,16
1117,Los Angeles High School Of The Arts,9-12,Los Angeles Unified,430,19.5,86.5 %,45.4,1412,295
1118,Channel Islands High,9-12,Oxnard Union High,"2,433",26.1,73.8 %,45.3,935,183
1119,Eisenhower Senior High,9-12,Rialto Unified,"2,425",23,83.1 %,45.2,1177,58
1120,San Diego Virtual,K-12,Mountain Empire Unified,391,18.6,65.7 %,45.2,1181,61
1121,Watsonville High,9-12,Pajaro Valley Unified,"1,925",25.3,81.4 %,45.1,1182,61
1122,Contreras Learning Center-School of Social Justice,9-12,Los Angeles Unified,511,22.2,90.6 %,45.1,1368,246
1123,Aspire Richmond Ca. College Preparatory Academy,6-12,West Contra Costa Unified,232,19.3,69.0 %,45,,(n/a)
1124,Hilmar High,9-12,Hilmar Unified,647,20.2,53.0 %,45,1127,3
1125,Maywood Academy High,9-12,Los Angeles Unified,"1,377",28.1,88.6 %,45,1192,67
1126,Woodrow Wilson Senior High,9-12,Los Angeles Unified,"1,543",21.1,89.7 %,45,1164,38
1127,Norwalk High,9-12,Norwalk-La Mirada Unified,"2,002",24.1,83.3 %,45,1162,35
1128,North Monterey County Center for Independent Study,K-12,North Monterey County Unified,187,31.1,51.9 %,45,1173,45
1129,Hoover High,9-12,San Diego Unified,"2,028",24.4,90.4 %,45,1282,153
1130,Florin High,9-12,Elk Grove Unified,"1,494",18.6,92.4 %,44.9,1295,165
1131,Mendota High,9-12,Mendota Unified,844,24.1,96.1 %,44.8,1217,86
1132,Tranquillity High,9-12,Golden Plains Unified,453,20.5,89.0 %,44.8,1333,201
1133,Grand Terrace High School at the Ray Abril Junior Edal Complex,9-12,Colton Joint Unified,"2,491",25.4,66.5 %,44.8,1014,119
1134,Tehachapi High,9-12,Tehachapi Unified,"1,272",22.3,27.1 %,44.8,412,722
1135,Kingsburg Independent Study High,9-12,Kingsburg Joint Union High,33,16.5,60.6 %,44.8,1241,106
1136,Arena High (Continuation),9-12,El Segundo Unified,34,17,17.7 %,44.7,1212,76
1137,Coliseum College Prep Academy,6-12,Oakland Unified,482,17.8,95.6 %,44.7,1430,293
1138,Rubidoux High,9-12,Jurupa Unified,"1,598",23.5,80.9 %,44.7,1128,10
1139,Camino Nuevo Charter High,9-12,Los Angeles Unified,324,29.4,89.5 %,44.6,1365,226
1140,California Virtual Academy @ Jamestown,K-12,Jamestown Elementary,114,14.2,64.0 %,44.5,1196,56
1141,Santa Maria High,9-12,Santa Maria Joint Union High,"2,695",20.2,85.5 %,44.5,1135,6
1142,NAVA College Preparatory Academy,9-12,Los Angeles Unified,491,24.5,93.3 %,44.4,,(n/a)
1143,Foshay Learning Center,K-12,Los Angeles Unified,"1,957",24.1,86.8 %,44.3,854,289
1144,Mountain Empire High,9-12,Mountain Empire Unified,384,15.3,63.3 %,44.3,1205,61
1145,Templeton Independent Study High,9-12,Templeton Unified,63,31.5,12.7 %,44.1,321,824
1145,Yuba City Charter,K-12,Yuba City Unified,215,15.3,74.4 %,44.1,1179,34
1147,Arroyo Valley High,9-12,San Bernardino City Unified,"2,617",25.6,87.6 %,44.1,1232,85
1148,Animo Watts College Preparatory Academy,9-12,Los Angeles Unified,561,20,92.9 %,44,1118,30
1149,Val Verde Academy,K-12,Val Verde Unified,100,25,59.0 %,44,1125,24
1150,Indio High,9-12,Desert Sands Unified,"1,910",26.9,83.4 %,43.9,1299,149
1151,Inspire Charter School,K-12,Acton-Agua Dulce Unified,836,15.4,23.9 %,43.9,,(n/a)
1152,Visalia Technical Early College,9-12,Visalia Unified,254,23,46.1 %,43.8,977,175
1153,Colton High,9-12,Colton Joint Unified,"1,953",21.2,81.8 %,43.8,1186,33
1154,Partnerships for Student-Centered Learning,K-12,Western Placer Unified,"1,007",9.9,48.9 %,43.8,1142,12
1155,Arlington High,9-12,Riverside Unified,"1,928",23.8,69.1 %,43.8,1070,85
1156,Pittsburg Senior High,9-12,Pittsburg Unified,"3,113",22.8,68.7 %,43.8,1174,18
1157,Biggs High,9-12,Biggs Unified,169,14,58.6 %,43.8,1097,60
1158,Boynton High,9-12,Campbell Union High,282,17.6,23.4 %,43.7,1081,77
1159,John Muir High,9-12,Pasadena Unified,902,16.4,76.4 %,43.7,1357,198
1160,Opportunities for Learning - Santa Clarita,7-12,William S. Hart Union High,"1,545",20.6,74.1 %,43.7,1349,189
1161,Walnutwood High (Independent Study),K-12,Folsom-Cordova Unified,183,20.3,40.4 %,43.6,1004,157
1162,Summit Charter Academy,K-12,Burton Elementary,"1,775",22.4,65.6 %,43.6,815,347
1163,Stagg Senior High,9-12,Stockton Unified,"1,466",26.1,58.5 %,43.5,1234,71
1164,Architecture Construction & Engineering Charter High (Ace),9-12,Oxnard Union High,186,16.9,53.2 %,43.5,485,679
1165,Gonzales High,9-12,Gonzales Unified,741,21.7,73.4 %,43.4,1407,242
1166,Castle Park Senior High,9-12,Sweetwater Union High,"1,533",24.3,78.5 %,43.3,1060,106
1167,Blair High,6-12,Pasadena Unified,962,17.4,66.6 %,43.3,920,247
1168,Humphreys College Academy Of Business Law And Education,K-12,New Jerusalem Elementary,375,19.7,80.3 %,43.3,1346,178
1169,Estancia High,9-12,Newport-Mesa Unified,"1,224",21.8,71.7 %,43.3,624,545
1170,Theodore Roosevelt Senior High,9-12,Los Angeles Unified,"1,670",19.4,85.2 %,43.3,1356,186
1171,Sunnyside High,9-12,Fresno Unified,"2,846",25.8,88.8 %,43.2,1291,120
1172,Horizon,K-12,Desert Sands Unified,243,16.2,44.0 %,43.2,1461,289
1173,Excelsior Charter,7-12,Victor Valley Union High,"1,939",34.6,51.8 %,43.1,1009,164
1174,Lynwood High,9-12,Lynwood Unified,"2,352",24,93.8 %,43,1307,133
1175,Valley High,9-12,Elk Grove Unified,"1,456",17.9,89.4 %,43,903,272
1176,Leuzinger High,9-12,Centinela Valley Union High,"1,829",21.7,79.1 %,43,1214,38
1177,Garey High,9-12,Pomona Unified,"1,821",23.6,87.8 %,43,1249,72
1178,Hawthorne High,9-12,Centinela Valley Union High,"2,187",22.5,80.6 %,43,1311,133
1179,WESM Health/Sports Medicine,9-12,Los Angeles Unified,"1,121",21.5,56.7 %,42.9,1134,45
1180,Pivot Charter School North Valley,K-12,Golden Feather Union Elementary,68,3.7,52.9 %,42.9,1207,27
1181,Mount Miguel High,9-12,Grossmont Union High,"1,397",20.2,78.5 %,42.9,1075,106
1182,Cesar E. Chavez Learning Acads-Teacher Preparation Academy,9-12,Los Angeles Unified,482,21.9,80.7 %,42.9,1436,254
1183,Laton High,9-12,Laton Joint Unified,190,13.5,83.2 %,42.8,1428,245
1184,Golden Eagle Charter,K-12,Siskiyou County Office Of Education,389,14.9,65.8 %,42.7,905,279
