Rank (of 5692),School,Grades,District,# Students,"Student/
                            Teacher Ratio","Free/Disc Lunch
                            Recipients",Average Standard Score (2017),Rank (2016)
312,El Rodeo Elementary,K-8,Beverly Hills Unified,684,17.1,5.9 %,95.2,489
313,Willow Elementary,K-5,Las Virgenes Unified,587,23.4,3.9 %,95.2,408
314,Park Elementary,K-5,Mill Valley Elementary,348,23.2,0.9 %,95.2,122
315,Robert E. Willett Elementary,K-6,Davis Joint Unified,529,26.4,14.2 %,95.1,356
316,Peabody (George) Elementary,K-5,San Francisco Unified,276,23,26.1 %,95.1,528
317,Rolling Ridge Elementary,K-6,Chino Valley Unified,540,25.7,25.7 %,95.1,299
318,Rancho Romero Elementary,K-5,San Ramon Valley Unified,497,26.1,1.8 %,95.1,330
319,Brewer Island Elementary,K-5,San Mateo-Foster City,696,24.8,4.3 %,95.1,219
320,Pantera Elementary,K-6,Pomona Unified,371,26.5,37.2 %,95.1,938
321,Skyline Elementary,K-6,Solana Beach Elementary,520,23.6,16.2 %,95,468
322,Los Alamitos Elementary,K-5,San Jose Unified,749,27.7,10.6 %,95,297
323,Deerfield Elementary,K-6,Irvine Unified,656,29.8,17.5 %,95,355
324,Hicks Canyon Elementary,K-5,Tustin Unified,936,28.3,12.3 %,95,263
325,Creekside Charter,K-6,Newcastle Elementary,136,17,16.9 %,95,527
326,Westpark Elementary,K-6,Irvine Unified,798,27.5,12.5 %,95,272
327,Arundel Elementary,K-4,San Carlos Elementary,527,23.9,4.7 %,95,351
328,Brookhaven Elementary,K-6,Placentia-Yorba Linda Unified,566,28.3,14.1 %,94.9,566
329,Rocklin Academy,K-6,Rocklin Unified,370,26.4,4.1 %,94.9,451
330,Tamalpais Valley Elementary,K-5,Mill Valley Elementary,494,23.5,2.6 %,94.9,143
331,John Sinnott Elementary,K-6,Milpitas Unified,775,25.8,15.1 %,94.9,402
332,Bel Aire Elementary,3-5,Reed Union Elementary,555,23.1,3.1 %,94.9,138
333,Sun Valley Elementary,K-5,San Rafael City Elementary,506,23,17.0 %,94.9,207
334,Carpenter Community Charter,K-5,Los Angeles Unified,946,26.2,5.4 %,94.9,314
335,Sycamore Canyon,K-8,Conejo Valley Unified,"1,313",23.8,1.6 %,94.9,473
336,Carrillo Elementary,K-5,San Marcos Unified,"1,050",25.6,15.4 %,94.9,288
337,Kenter Canyon Elementary Charter,K-5,Los Angeles Unified,537,25.5,5.8 %,94.9,155
338,Green Valley Elementary,K-5,San Ramon Valley Unified,526,25,1.0 %,94.8,252
339,Walnut Heights Elementary,K-5,Walnut Creek Elementary,392,23,9.4 %,94.8,401
340,Kelly Elementary,K-5,Carlsbad Unified,403,23.7,7.2 %,94.8,286
341,Redwood Shores Elementary,K-5,Belmont-Redwood Shores Elementary,499,24.9,3.2 %,94.8,177
342,Lydiksen Elementary,K-5,Pleasanton Unified,690,24.6,5.8 %,94.8,476
343,Quail Run Elementary,K-5,San Ramon Valley Unified,"1,028",23.9,7.7 %,94.8,458
344,Hearst Elementary,K-5,San Diego Unified,496,26.1,21.2 %,94.8,333
345,San Elijo Elementary,K-5,San Marcos Unified,"1,480",26.4,11.0 %,94.8,308
346,Oso Grande Elementary,K-5,Capistrano Unified,"1,195",30.6,3.1 %,94.8,323
347,Tamura (Hisamatsu) Elementary,K-5,Fountain Valley Elementary,626,27.2,20.9 %,94.8,661
348,Greenbrook Elementary,K-5,San Ramon Valley Unified,633,26.3,3.6 %,94.8,345
349,Citizens of the World Charter Hollywood,K-8,Los Angeles Unified,426,22.4,40.1 %,94.7,640
350,Woods (Harold L.) Elementary,K-6,Clovis Unified,746,27.6,16.6 %,94.7,455
351,Riverview Elementary,K-6,Clovis Unified,761,28.1,21.2 %,94.7,334
352,Meadows Arts and Technology Elementary,K-5,Ventura County Office Of Education,384,24,5.7 %,94.7,555
353,Ivanhoe Elementary,K-5,Los Angeles Unified,458,26.9,11.4 %,94.7,230
354,Daves Avenue Elementary,K-5,Los Gatos Union Elementary,584,24.3,1.4 %,94.7,341
355,Cornell Elementary,K-5,Albany City Unified,548,23.8,11.0 %,94.7,388
356,Walnut Grove Elementary,K-5,Pleasanton Unified,739,26.3,3.3 %,94.7,294
357,San Onofre Elementary,K-8,Fallbrook Union Elementary,638,21.2,46.7 %,94.6,629
358,Encino Charter Elementary,K-5,Los Angeles Unified,554,24,19.5 %,94.6,329
359,Los Penasquitos Elementary,K-5,Poway Unified,551,26.2,43.6 %,94.6,202
360,Benjamin Bubb Elementary,K-5,Mountain View Whisman,556,23.1,22.8 %,94.6,517
361,Maple Hill Elementary,K-5,Walnut Valley Unified,528,29.3,14.4 %,94.6,580
362,Highland Oaks Elementary,K-5,Arcadia Unified,680,25.1,12.5 %,94.6,302
363,Meadows Elementary,K-6,Newhall,645,23.8,21.9 %,94.5,440
364,Pioneer Elementary,K-6,Davis Joint Unified,555,27.7,15.7 %,94.5,559
365,Wittmann (Helen) Elementary,K-6,ABC Unified,568,25.8,27.8 %,94.5,247
366,Literacy First Charter,K-12,San Diego County Office Of Education,"1,639",21.5,43.4 %,94.5,456
367,John L. Golden Elementary,K-5,Etiwanda Elementary,891,23.4,18.7 %,94.4,567
368,Clarendon Alternative Elementary,K-5,San Francisco Unified,552,23,22.6 %,94.4,339
369,Lanai Road Elementary,K-5,Los Angeles Unified,559,25.4,4.1 %,94.4,414
370,El Morro Elementary,K-5,Laguna Beach Unified,558,19.9,15.6 %,94.4,480
371,Evergreen Elementary,K-5,Walnut Valley Unified,589,25.6,11.5 %,94.4,253
372,Vista Grande Elementary,K-5,San Ramon Valley Unified,662,24.5,0.9 %,94.3,410
373,Maude B. Davis Elementary,K-6,Newport-Mesa Unified,572,28.6,23.4 %,94.3,255
374,Silva Valley Elementary,K-5,Buckeye Union Elementary,562,25.5,5.3 %,94.3,472
375,Donlon Elementary,K-5,Pleasanton Unified,825,25.7,4.2 %,94.3,204
376,Env Academy Of Research Technical And Earth Scis,K-5,Conejo Valley Unified,541,24.5,14.2 %,94.3,448
377,Arroyo Elementary,K-5,Tustin Unified,640,30.4,4.4 %,94.3,309
378,Bonita Canyon Elementary,K-6,Irvine Unified,488,27.1,4.5 %,94.3,187
379,Curtner Elementary,K-6,Milpitas Unified,730,26,19.9 %,94.2,463
380,Ballard Elementary,K-6,Ballard Elementary,124,17.7,2.4 %,94.2,116
381,Fremont Elementary,K-5,Long Beach Unified,521,30.6,25.0 %,94.2,764
382,Monterey Hills Elementary,K-5,South Pasadena Unified,636,22.7,9.6 %,94.2,210
383,Silver Gate Elementary,K-4,San Diego Unified,579,25.1,19.0 %,94.2,224
384,Nohl Canyon Elementary,K-6,Orange Unified,556,34.7,9.4 %,94.2,557
385,Jackson Elementary,K-5,Rescue Union Elementary,430,23.8,9.8 %,94.2,551
386,Spring Valley Elementary,K-5,Millbrae Elementary,446,27.8,7.9 %,94.2,515
387,Independent Elementary,K-5,Castro Valley Unified,653,25.1,13.6 %,94.2,342
388,Wagon Wheel Elementary,K-5,Capistrano Unified,531,31.2,4.7 %,94.1,437
389,Dry Creek Elementary,K-6,Clovis Unified,820,27.3,19.3 %,94.1,671
390,Chaparral Elementary,K-5,Poway Unified,800,25,9.3 %,94.1,359
391,Tassajara Hills Elementary,K-5,San Ramon Valley Unified,587,27.9,2.7 %,94.1,429
392,Benchley/Weinberger Elementary,K-5,San Diego Unified,556,25.2,20.1 %,94.1,452
393,Glenwood Elementary,K-5,San Rafael City Elementary,445,22.2,14.8 %,94.1,358
394,Larchmont Charter,K-12,Los Angeles Unified,"1,424",21.5,39.3 %,94,501
395,Junction Elementary,K-5,Roseville City Elementary,724,25.8,9.1 %,94,386
396,Linda Vista Elementary,K-5,Placentia-Yorba Linda Unified,441,29.4,10.4 %,94,258
397,Lupin Hill Elementary,K-5,Las Virgenes Unified,603,23.1,14.9 %,93.9,889
398,Vista del Mar Elementary,K-5,Capistrano Unified,"1,100",30.5,6.3 %,93.9,344
399,Quail Lake Environmental Charter,K-8,Sanger Unified,561,23.3,21.0 %,93.9,537
400,Audubon Elementary,K-5,San Mateo-Foster City,717,23.9,3.2 %,93.9,312
401,Liberty Elementary,K-6,Clovis Unified,606,27.5,33.7 %,93.9,633
402,Yu (Alice Fong) Elementary,K-8,San Francisco Unified,587,26.6,38.8 %,93.9,266
403,Glenknoll Elementary,K-6,Placentia-Yorba Linda Unified,519,30.5,16.4 %,93.9,479
404,Sierra Expeditionary Learning,K-8,Tahoe-Truckee Unified,213,23.6,25.8 %,93.9,750
405,Villa Park Elementary,K-6,Orange Unified,623,32.7,13.0 %,93.8,364
406,Hugo Reid Elementary,K-5,Arcadia Unified,562,28.1,24.6 %,93.8,319
407,O. N. Hirsch Elementary,K-6,Fremont Unified,552,29,25.5 %,93.8,347
408,Carver Elementary,K-5,Long Beach Unified,487,27,24.6 %,93.8,711
409,Lafayette Elementary,K-5,San Francisco Unified,543,20.8,34.4 %,93.8,292
410,Gregg Anderson Academy,K-8,Westside Union Elementary,885,27.6,18.6 %,93.7,384
411,Bay Farm,K-8,Alameda Unified,591,21.1,6.3 %,93.7,481
412,KIPP Iluminar Academy,K-4,Los Angeles Unified,448,24.8,87.5 %,93.7,
413,Mariners Elementary,K-6,Newport-Mesa Unified,768,26.4,14.5 %,93.7,373
414,Meadow Park Elementary,K-6,Irvine Unified,706,29.4,14.7 %,93.7,332
415,Cypress Village Elementary,K-6,Irvine Unified,939,30.2,12.7 %,93.7,
416,Fox Elementary,K-5,Belmont-Redwood Shores Elementary,495,26,3.6 %,93.6,368
417,Camino Grove Elementary,K-5,Arcadia Unified,628,26.1,22.9 %,93.6,532
418,Temescal Valley Elementary,K-6,Corona-Norco Unified,930,28.1,28.1 %,93.6,438
419,Eastshore Elementary,K-6,Irvine Unified,621,29.5,13.7 %,93.6,300
420,Montevideo Elementary,K-5,San Ramon Valley Unified,644,25.7,5.4 %,93.5,482
421,Louise Van Meter Elementary,K-5,Los Gatos Union Elementary,656,22.6,2.3 %,93.5,475
422,Doyle Elementary,K-5,San Diego Unified,886,25.3,29.7 %,93.5,577
423,Rolling Hills Elementary,K-5,Poway Unified,428,25.1,17.3 %,93.5,530
424,Jefferson Elementary,K-5,Berkeley Unified,422,22.2,31.3 %,93.5,545
425,Sessions Elementary,K-5,San Diego Unified,470,23.5,21.5 %,93.4,381
426,Gant Elementary,K-5,Long Beach Unified,587,26.6,20.6 %,93.4,554
427,Gussie M. Baker Elementary,K-5,Moreland,703,22.6,15.4 %,93.4,412
428,Laurelwood Elementary,K-5,Santa Clara Unified,695,25.7,9.6 %,93.4,378
429,Valley View Elementary,K-6,Glendale Unified,407,27.1,11.8 %,93.4,544
430,Michael G. Wickman Elementary,K-6,Chino Valley Unified,904,27.3,14.5 %,93.3,307
431,Ridgeview Elementary,4-6,Eureka Union,571,28.5,5.1 %,93.3,365
432,West Creek Academy,K-6,Saugus Union,933,28.2,4.4 %,93.3,281
433,Montair Elementary,K-5,San Ramon Valley Unified,560,22.4,2.0 %,93.3,465
434,Olinda Elementary,K-6,Brea-Olinda Unified,583,27.7,18.0 %,93.2,713
435,Harvey Green Elementary,K-6,Fremont Unified,489,24.4,29.5 %,93.2,443
436,Henry,K-5,Long Beach Unified,773,28.6,25.4 %,93.2,920
437,Grapeland Elementary,K-5,Etiwanda Elementary,727,25.9,31.0 %,93.2,392
438,Brook Knoll Elementary,K-5,Scotts Valley Unified,531,24.1,9.2 %,93.2,590
439,Grant Elementary,K-5,Santa Monica-Malibu Unified,628,22.4,30.1 %,93.1,552
440,Tierrasanta Elementary,K-5,San Diego Unified,474,24.9,40.9 %,93.1,605
441,Green Elementary,K-5,San Diego Unified,492,25.8,33.3 %,93.1,397
442,Miller's Hill,4-8,Latrobe,84,16.8,7.1 %,93.1,325
443,San Jose Charter Academy,K-8,West Covina Unified,"1,229",23.1,45.5 %,93.1,320
444,Woodbury Elementary,K-6,Irvine Unified,"1,110",30,11.2 %,93.1,376
445,Myford Elementary,K-5,Tustin Unified,727,29,11.8 %,93.1,336
446,Magnolia Elementary,K-5,Carlsbad Unified,493,27.3,15.6 %,93.1,233
447,Warwick Elementary,K-6,Fremont Unified,926,26.4,18.4 %,93,540
448,Loyal Barker Elementary,K-6,Garden Grove Unified,434,27.1,17.5 %,93,753
449,La Costa Meadows Elementary,K-5,San Marcos Unified,943,26.9,10.5 %,93,516
450,Odyssey Charter,K-8,Los Angeles County Office Of Education,460,27,26.1 %,93,608
451,John R. Peterson Elementary,K-5,Huntington Beach City Elementary,705,29.3,23.1 %,93,495
452,A. J. Cook Elementary,K-6,Garden Grove Unified,355,25.3,64.5 %,93,393
453,Empire Oaks Elementary,K-5,Folsom-Cordova Unified,540,24.5,6.1 %,93,467
454,Birney Elementary,K-5,Redondo Beach Unified,460,25.5,16.1 %,93,563
455,Walnut Acres Elementary,K-5,Mt. Diablo Unified,617,25.7,6.2 %,92.9,350
456,Brookside Elementary,K-5,Oak Park Unified,601,26.1,6.5 %,92.9,433
457,Sunrise Elementary,K-6,Elk Grove Unified,"1,218",22.9,17.1 %,92.9,421
458,Neil Cummins Elementary,K-5,Larkspur-Corte Madera,592,23.6,7.1 %,92.9,427
459,Northwood Elementary,K-5,Berryessa Union Elementary,462,25.6,27.5 %,92.9,442
460,Happy Valley Elementary,K-6,Happy Valley Elementary,132,22,9.1 %,92.9,195
461,Ladera Ranch Elementary,K-5,Capistrano Unified,848,30.2,9.0 %,92.9,512
462,Chaparral Elementary,K-5,Capistrano Unified,868,31,4.6 %,92.9,432
463,Natoma Station Elementary,K-6,Folsom-Cordova Unified,438,23,9.8 %,92.8,689
464,Bay Park Elementary,K-5,San Diego Unified,444,26.1,25.9 %,92.8,407
465,Community Magnet Charter Elementary,K-5,Los Angeles Unified,466,27.4,28.5 %,92.8,280
466,Mountain View Elementary,K-6,Goleta Union Elementary,343,20.1,8.8 %,92.8,369
467,Plavan (Urbain H.) Elementary,K-5,Fountain Valley Elementary,522,27.4,30.5 %,92.7,536
468,J. H. McGaugh Elementary,K-5,Los Alamitos Unified,840,21.5,10.2 %,92.7,390
469,Abraham Lincoln Elementary,K-6,Newport-Mesa Unified,561,23.3,13.6 %,92.7,558
470,Blue Oaks Elementary,K-5,Roseville City Elementary,524,23.8,13.7 %,92.7,419
471,Wedgeworth Elementary,K-5,Hacienda La Puente Unified,399,22.1,46.9 %,92.7,389
472,Alderwood Elementary,K-6,Irvine Unified,847,29.2,11.0 %,92.7,241
473,Wolf Canyon Elementary,K-6,Chula Vista Elementary,854,23.7,17.8 %,92.7,641
474,White Oak Elementary,K-5,Las Virgenes Unified,438,21.9,5.3 %,92.7,546
475,Rescue Elementary,K-5,Rescue Union Elementary,424,23.5,26.7 %,92.7,569
476,Westwood Elementary,K-5,Poway Unified,794,25.6,14.5 %,92.6,533
477,Painted Rock Elementary,K-5,Poway Unified,680,25.1,9.1 %,92.6,449
478,Neil A. Armstrong Elementary,K-5,San Ramon Valley Unified,597,25.9,3.2 %,92.6,474
479,Niles Elementary,K-6,Fremont Unified,581,25.2,12.6 %,92.6,575
480,Plaza Vista,K-8,Irvine Unified,940,27.6,10.2 %,92.6,490
481,Design 39 Campus,K-8,Poway Unified,"1,011",26.6,11.2 %,92.6,498
482,Booksin Elementary,K-5,San Jose Unified,848,25.6,13.0 %,92.5,316
483,Robert Down Elementary,K-5,Pacific Grove Unified,469,26,16.0 %,92.5,761
484,Proctor Elementary,K-5,Castro Valley Unified,501,25,15.4 %,92.5,383
485,Mira Catalina Elementary,K-5,Palos Verdes Peninsula Unified,406,25.3,5.7 %,92.5,584
486,Buena Vista Elementary,K-5,Carlsbad Unified,282,28.2,32.6 %,92.5,1063
487,Melinda Heights Elementary,K-6,Saddleback Valley Unified,"1,076",29,9.4 %,92.5,352
488,Ada W. Harris Elementary,3-6,Cardiff Elementary,353,20.7,13.9 %,92.5,505
489,Caryn Elementary,K-5,Etiwanda Elementary,570,27.1,22.5 %,92.5,646
490,Sunset Ranch Elementary,K-6,Rocklin Unified,815,26.2,8.8 %,92.5,435
491,Kellogg Elementary,K-6,Goleta Union Elementary,417,18.9,27.3 %,92.5,576
492,Crocker/Riverside Elementary,K-6,Sacramento City Unified,634,28.8,20.8 %,92.5,539
493,Ladera Elementary,K-5,Tustin Unified,381,27.2,10.2 %,92.4,568
494,Webster Elementary,K-5,Santa Monica-Malibu Unified,292,22.4,7.5 %,92.4,245
495,Farragut Elementary,K-5,Culver City Unified,569,23.7,13.5 %,92.4,374
496,Westlake Elementary,K-5,Conejo Valley Unified,514,23.3,10.5 %,92.4,610
497,Montclair Elementary,K-5,Oakland Unified,615,25.6,15.5 %,92.4,601
498,De Portola Elementary,K-6,Saddleback Valley Unified,552,30.6,6.3 %,92.4,367
499,Haynes Charter For Enriched Studies,K-5,Los Angeles Unified,416,24.4,18.0 %,92.4,491
500,Los Ranchos Elementary,K-6,San Luis Coastal Unified,483,25.4,16.2 %,92.4,578
501,Arlene Hein Elementary,K-6,Elk Grove Unified,"1,219",22.5,30.8 %,92.3,560
502,Sierra Vista Elementary,K-6,Placentia-Yorba Linda Unified,476,29.7,22.3 %,92.3,375
503,Rancho Vista Elementary,K-5,Palos Verdes Peninsula Unified,443,24.6,3.2 %,92.3,172
504,Copper Hills Elementary,K-6,Clovis Unified,515,25.7,25.4 %,92.3,607
505,Seaside Elementary,K-5,Torrance Unified,587,26.6,14.8 %,92.3,434
506,Point Dume Elementary,K-5,Santa Monica-Malibu Unified,195,21.6,6.7 %,92.3,464
507,Emperor Elementary,K-6,Temple City Unified,692,24.7,36.7 %,92.3,519
508,Valencia Valley Elementary,K-6,Newhall,690,24.6,15.7 %,92.2,315
509,Hillside Elementary,K-6,San Bernardino City Unified,790,25.4,86.2 %,92.2,1010
510,Anthony G. Bacich Elementary,K-4,Kentfield Elementary,659,19.9,5.6 %,92.2,377
511,Bud Rank Elementary,K-6,Clovis Unified,934,28.3,17.9 %,92.2,423
512,Lincoln Elementary,K-6,Clovis Unified,709,29.5,55.3 %,92.2,652
513,Community Roots Academy,K-8,Capistrano Unified,573,19.1,2.3 %,92.1,1012
514,Portola Hills Elementary,K-6,Saddleback Valley Unified,780,28.8,7.2 %,92.1,454
515,Monterey Vista Elementary,K-6,Garvey Elementary,474,24.9,74.1 %,92.1,803
516,Jonas Salk Elementary,K-5,San Diego Unified,496,26.1,40.9 %,92.1,
517,Vista Elementary,K-6,Simi Valley Unified,679,27.1,11.9 %,92.1,348
518,Westlake Hills Elementary,K-5,Conejo Valley Unified,485,23,13.2 %,92,466
519,Kumeyaay Elementary,K-5,San Diego Unified,469,26,18.3 %,92,800
520,Stoneridge Elementary,K-5,Roseville City Elementary,546,26,10.1 %,92,760
521,Poinsettia Elementary,K-5,Carlsbad Unified,540,27,22.4 %,92,698
522,Sherman Elementary,K-5,San Francisco Unified,384,19.2,37.2 %,91.9,861
523,Steven Millard Elementary,K-6,Fremont Unified,597,24.8,25.0 %,91.9,712
524,James Monroe Elementary,K-5,Desert Sands Unified,580,23.2,56.9 %,91.9,740
525,Vista Grande Elementary,K-5,San Diego Unified,427,22.4,49.4 %,91.9,1089
526,Riviera Elementary,K-5,Torrance Unified,652,26,11.2 %,91.9,507
527,Chesterton Elementary,K-5,San Diego Unified,482,26.7,53.9 %,91.9,637
528,Baywood Elementary,K-5,San Mateo-Foster City,739,24.6,16.4 %,91.9,487
529,Kettering Elementary,K-5,Long Beach Unified,335,23.9,34.0 %,91.8,846
530,Tularcitos Elementary,K-5,Carmel Unified,535,23.2,16.1 %,91.8,426
531,Sierra View Elementary,K-5,Chico Unified,662,25.4,20.4 %,91.8,453
532,Grant Elementary,K-8,Grant Elementary,614,19.8,12.7 %,91.8,674
533,Marshall (Thurgood) Elementary,K-6,Chula Vista Elementary,676,22.5,19.5 %,91.8,488
534,Ronald Reagan Elementary,K-6,Panama-Buena Vista Union,936,29.2,23.4 %,91.8,733
535,Beryl Heights Elementary,K-5,Redondo Beach Unified,501,26.3,11.0 %,91.8,201
536,Chin (John Yehall) Elementary,K-5,San Francisco Unified,275,25,81.5 %,91.7,447
537,Running Springs Elementary,K-6,Orange Unified,698,26.8,8.5 %,91.7,450
538,Bryant Ranch Elementary,K-5,Placentia-Yorba Linda Unified,585,29.2,12.0 %,91.6,553
539,Castlebay Lane Charter,K-5,Los Angeles Unified,771,25.7,15.2 %,91.6,483
540,Mar Vista Elementary,K-5,Los Angeles Unified,590,22.6,13.6 %,91.6,506
541,Oak Grove Elementary,K-8,Visalia Unified,809,28.8,27.9 %,91.6,630
542,Theodore Roosevelt Elementary,K-5,Burbank Unified,638,26.5,14.1 %,91.6,737
543,Center Street Elementary,K-5,El Segundo Unified,737,25.4,13.8 %,91.6,416
544,Mary Fay Pendleton Elementary,K-8,Fallbrook Union Elementary,721,22.5,29.5 %,91.5,647
545,Emma C. Smith Elementary,K-5,Livermore Valley Joint Unified,735,25.3,10.2 %,91.5,494
546,Newport Elementary,K-6,Newport-Mesa Unified,486,24.3,14.8 %,91.5,741
547,Fletcher Hills Elementary,K-6,La Mesa-Spring Valley,672,28,25.9 %,91.5,667
548,Hope View Elementary,K-5,Ocean View,625,27.1,16.2 %,91.5,547
549,Ocean View Elementary,K-5,Albany City Unified,652,23.2,27.9 %,91.5,768
550,Hermosa Valley Elementary,4-8,Hermosa Beach City Elementary,852,24.3,3.3 %,91.4,439
551,Westwood Charter Elementary,K-5,Los Angeles Unified,848,24.2,7.2 %,91.4,398
552,Bishop's Peak Elementary,K-6,San Luis Coastal Unified,453,23.8,26.7 %,91.4,672
553,Anaheim Hills Elementary,K-6,Orange Unified,516,30.3,5.4 %,91.4,441
554,Gisler (Robert) Elementary,K-5,Fountain Valley Elementary,533,26.6,19.5 %,91.4,622
555,Lakewood Elementary,K-6,Modesto City Elementary,395,23.2,27.3 %,91.4,717
556,Crocker Highlands Elementary,K-5,Oakland Unified,450,25,8.7 %,91.3,462
557,Downtown Elementary,K-8,Bakersfield City,308,22,16.9 %,91.3,972
558,Emblem Academy,K-6,Saugus Union,695,23.1,11.1 %,91.3,461
559,Mariposa Elementary,K-6,Brea-Olinda Unified,569,27,19.7 %,91.3,636
560,Topanga Elementary Charter,K-6,Los Angeles Unified,291,24.2,6.5 %,91.3,478
561,Walnut Elementary,K-5,Walnut Valley Unified,604,25.1,22.2 %,91.3,718
562,Donald D. Lum Elementary,K-5,Alameda Unified,520,24.7,26.2 %,91.3,828
563,Tustin Connect Center,K-8,Tustin Unified,42,21,14.3 %,91.3,
564,Jacoby Creek,K-8,Jacoby Creek Elementary,432,20.5,18.5 %,91.3,571
565,Emerson Elementary,K-5,Berkeley Unified,305,20.3,41.3 %,91.3,1215
566,Clear Creek Elementary,K-8,Clear Creek Elementary,144,24,34.7 %,91.2,618
567,Charter School of Morgan Hill,K-8,Morgan Hill Unified,620,21.3,6.1 %,91.2,457
568,Citizens of the World 3,K-5,Los Angeles Unified,368,21.6,33.4 %,91.2,1181
569,Bethany Elementary,K-8,Lammersville Joint Unified,848,24.9,16.0 %,91.2,725
570,Lakeside Elementary,K-5,Lakeside Joint,88,17.6,9.1 %,91.2,338
571,Gravenstein Elementary,K-5,Gravenstein Union Elementary,436,19.8,15.1 %,91.1,529
572,Nesbit Elementary,K-7,Belmont-Redwood Shores Elementary,554,21.3,17.9 %,91.1,851
573,Joseph Arnold Elementary,K-5,Torrance Unified,727,24.2,22.3 %,91.1,655
574,Montemalaga Elementary,K-5,Palos Verdes Peninsula Unified,494,26,3.0 %,91.1,313
575,Folsom Hills Elementary,K-5,Folsom-Cordova Unified,610,26.5,4.8 %,91,660
576,Sunset Hills Elementary,K-5,Poway Unified,464,22,16.0 %,91,1062
577,Northwood Elementary,K-6,Irvine Unified,697,29,21.7 %,91,508
578,Valley Oak Elementary,K-6,Clovis Unified,569,27,25.8 %,91,649
579,Hawthorne Elementary,K-8,Beverly Hills Unified,650,16.6,7.5 %,91,543
580,Arroyo Vista Charter,K-8,Chula Vista Elementary,995,24.2,15.4 %,91,724
581,Key (Francis Scott) Elementary,K-5,San Francisco Unified,531,20.4,39.4 %,91,919
582,Edison Elementary,K-5,Santa Monica-Malibu Unified,433,24,48.3 %,91,700
583,Schroeder Elementary,K-6,Westminster,651,26,32.0 %,91,525
584,Eastbluff Elementary,K-6,Newport-Mesa Unified,404,21.2,15.1 %,90.9,521
585,Los Molinos Elementary,K-5,Hacienda La Puente Unified,433,24,39.3 %,90.9,735
586,Mt. Washington Elementary,K-6,Los Angeles Unified,421,24.7,13.8 %,90.9,734
587,Field (Eugene) Elementary,K-5,Pasadena Unified,502,20.9,28.7 %,90.9,1771
588,Stevenson (Robert Louis) Elementary,K-5,San Francisco Unified,464,22,51.3 %,90.9,669
589,Valhalla Elementary,K-5,Mt. Diablo Unified,554,26.3,21.5 %,90.9,985
590,Peralta Elementary,K-5,Oakland Unified,320,24.6,22.2 %,90.9,431
591,Blandford Elementary,K-6,Rowland Unified,673,24,44.3 %,90.8,513
592,Ruskin Elementary,K-5,Berryessa Union Elementary,632,24.3,18.0 %,90.8,564
593,Washington Elementary,K-5,Burlingame Elementary,370,23.1,10.5 %,90.8,751
594,Towers Elementary,K-5,Torrance Unified,614,26.6,12.4 %,90.7,838
595,Beechwood Elementary,K-8,Fullerton Elementary,868,28,10.1 %,90.7,353
596,Hidden Valley Elementary,K-5,Ross Valley Elementary,365,21.4,8.2 %,90.7,650
597,Rocklin Academy Gateway,K-8,Newcastle Elementary,"1,047",24.3,7.6 %,90.7,424
